move_id,move_num,character_id,move_category_id,move_name,move_name_kana,command,startup_frame,active_frame,hit_frame,block_frame,attribute,effect_id_1,effect_id_2,effect_id_3,effect_id_4,effect_id_5,remarks_1,remarks_2,remarks_3,remarks_4,remarks_5
00001,1,010,151,ヒート中にできること１（共通）, ,すべての攻撃に「ガードさせると削りダメージを与える」効果がつく,,,,, ,,,,,,削りダメージではK.O.できない,削りダメージは回復可能ゲージになる,,,
00002,2,010,151,ヒート中にできること２（共通）, ,コンボや攻めの起点となる「ヒートダッシュ」を発動可能(発動後ヒート終了),,,,, ,,,,,,ヒート発動技が相手に触れるまでdk(orLB)を入力,ガード時削りダメージを上乗せ,,,
00003,3,010,151,ヒート中にできること３（共通）, ,ダメージの高い大技「ヒートスマッシュ」を発動可能(発動後ヒート終了),,,,, ,,,,,,ヒート状態でLB(orij),,,,
00004,4,010,151,ヒート中にできること４（固有）, ,チェーンソーを使用する攻撃のガード削りダメージが増加,,,,, ,,,,,,lkrp,lkrp,デストロイフォーム中にfolpなど,,
00005,5,010,151,ヒート中にできること５（固有）, ,新しいデュアルブート移行技が使用可能,,,,, ,,,,,,fouk,デストロイフォーム中にforplplk(orrk),,,
00006,6,010,151,ヒート中にできること６（固有）, ,パワーアップしたデストロイフォーム移行技が使用可能,,,,, ,,,,,,crwp,fodkrpwp,,,
00007,7,010,001,ヒートバースト, ,ヒート発動可能状態でij,16,16 - 16,2,1,中,8,3,,,,ヒート状態の残り時間を消費する,ijbabaで攻撃をキャンセル,,,
00008,8,010,001,クイックトリミング, ,lkrp,13,13 - 14,D,-2,中上,6,5,1,,,ガード時削りダメージあり,デストロイフォームへ(ヒートダッシュ発動時は移行しない),,,
00009,9,010,001,アンインストール, ,wp,19,19 - 20,D,-4,中,6,5,,,,ガード時削りダメージあり,,,,
00010,10,010,001,デュアルセッション, ,forplp,17,17 - 18,14,-10,中中,6,5,8,,,ガード時削りダメージあり,デストロイフォームへ(ヒートダッシュ発動時は移行しない),forpwpでデストロイフォームへ,,
00011,11,010,001,イメージカッター, ,fjrp,16,16 - 17,D,-2,上,6,5,1,,,orjurp,ガード時削りダメージあり,デストロイフォームへ(ヒートダッシュ発動時は移行しない),,
00012,12,010,001,ギガヘルツストーム, ,デストロイフォーム(crwpなど)中にforplprp,15,15 - 15,D,-13,中中中,6,5,,,,ガード時削りダメージあり,1段目、2段目ヒット時強制しゃがみ,,,
00013,13,010,001,デュアルブート・エマージェンシー, ,ヒート状態でfouk,,,,, ,,,,,,デュアルブートへ,ヒートの残り時間を消費,,,
00014,14,010,001,デストロイフォーム・エマージェンシー, ,ヒート状態でcrwp,,,,, ,,,,,,デストロイフォームへ,ヒートの残り時間を消費,,,
00015,15,010,001,ハローワールド・エマージェンシー,,ヒート状態でfodkrpwp,16,16 - 17,D,3,中×6,6,,,,,デストロイフォームへ,ヒートの残り時間を消費,,,
00016,16,010,001,ホットフィックスプロトコル, ,ヒート状態でij,20,20 - 21,D,8,中中中,6,,,,,or ヒート状態でデストロイフォーム中にij,ヒートスマッシュ,ヒット時投げへ,ijlk(orijrk)でブートへ,ijfolk(orijfork)でデュアルブートへ
00017,17,010,002,ブリリアントペガサスシュート, ,レイジ状態でfcwp,20,20 - 20,D,-15,中,3,4,,,,or レイジ状態でデストロイフォーム中にfcwp,レイジアーツ,ヒット時相手の回復可能ゲージを消す,,
00018,18,010,003,ストップビット, ,lplp,10,10 - 10,5,-3,上上,,,,,,lplpwpでデストロイフォームへ,,,,
00019,19,010,003,ワンツータイピング, ,lprp,10,10 - 10,8,-3,上上,,,,,,,,,,
00020,20,010,003,ワンツーリフトオフ, ,lprprp,10,10 - 10,D,-9,上上上,2,,,,,ガード時削りダメージあり,,,,
00021,21,010,003,ワンツーコイルパンチ, ,lprpcrrp,10,10 - 10,2,-11,上上下,,,,,,最終段ホールド可,,,,
00022,22,010,003,トラブルシューティング, ,rpヒット or ガード時rp,12,12 - 12,D,-13,上上,6,,,,,,,,,
00023,23,010,003,コンビネーションダウンタイム, ,rplklk,12,12 - 12,D,-11,上中中,6,,,,,,,,,
00024,24,010,003,コンビネーションダウンリンク, ,rplkrk,12,12 - 12,D,-13,上中下,,,,,,,,,,
00025,25,010,003,クイックトリミング, ,lkrp,13,13 - 14,D,-2,中上,6,5,1,,,ガード時削りダメージあり,デストロイフォームへ(ヒートダッシュ発動時は移行しない),,,
00026,26,010,003,クイックアクセス, ,lkforp,13,13 - 14,5,-12,中中,,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00027,27,010,003,アクセレートキック, ,rk,13,13 - 14,14,-5,上,6,1,,,,,,,,
00028,28,010,003,アンインストール, ,wp,19,19 - 20,D,-4,中,6,5,,,,ガード時削りダメージあり,,,,
00029,29,010,003,デュアルセッション, ,forplp,17,17 - 18,14,-12,中中,6,5,,,,ガード時削りダメージあり,デストロイフォームへ(ヒートダッシュ発動時は移行しない),forpwpでデストロイフォームへ,,
00030,30,010,003,トリプルセッション, ,forplklk,17,17 - 18,0,-10,中上中,6,,,,,forplkwpでデストロイフォームへ,,,,
00031,31,010,003,デストロイアクセス, ,folkrp,14,14 - 15,D,-4,上上,6,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00032,32,010,003,オートマチックトランスミッション, ,folkwp,14,14 - 15,8,-13,上中,6,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00033,33,010,003,ロジックボム, ,forklprk,16,16 - 16,D,-12,中上中,1,,,,,forkwpでデストロイフォームへ,２段目WB,,,
00034,34,010,003,オーバーフロー, ,fowp,14,14 - 15,14,-12,中,6,8,,,,fowplk(orfowprk)でブートへ,fowpfplk(orfowpfork)でデュアルブートへ,,,
00035,35,010,003,ブート, ,fowk,,,,, ,,,,,,ブートへ,,,,
00036,36,010,003,サイクロンミキサー, ,fclplprp,13,13 - 13,8,6,中上上,,,,,,デストロイフォームへ,ガード時削りダメージあり,,,
00037,37,010,003,サイクロンクラッキング, ,fclprk,13,13 - 13,3,-11,中中,8,,,,,空中ヒット時FB,fclprkwpでデストロイフォームへ移行,,,
